Samples	Label	Sex	Fraction	Comb	Comb2	Comb3	Family	Ab
 12CM_4h_light	12C	Male	Light	4h_Light	12CMale	12CM	Cystofilobasidiaceae	1.45551455514555
 12CM_4h_light	12C	Male	Light	4h_Light	12CMale	12CM	Hymenochaetaceae	0
 12CM_4h_light	12C	Male	Light	4h_Light	12CMale	12CM	Cordycipitaceae	0
 12CM_4h_light	12C	Male	Light	4h_Light	12CMale	12CM	Peniophoraceae	0.399753997539975
 12CM_4h_light	12C	Male	Light	4h_Light	12CMale	12CM	Polyporaceae	1.0250102501025
 12CM_4h_light	12C	Male	Light	4h_Light	12CMale	12CM	Filobasidiaceae	0
 12CM_4h_light	12C	Male	Light	4h_Light	12CMale	12CM	Diatrypaceae	0.358753587535875
 12CM_4h_light	12C	Male	Light	4h_Light	12CMale	12CM	Meruliaceae	0.0410004100041
 12CM_4h_light	12C	Male	Light	4h_Light	12CMale	12CM	Erysiphaceae	0
 12CM_4h_light	12C	Male	Light	4h_Light	12CMale	12CM	Phaeosphaeriaceae	1.00451004510045
 12CM_4h_light	12C	Male	Light	4h_Light	12CMale	12CM	Leotiaceae	0.871258712587126
 12CM_4h_light	12C	Male	Light	4h_Light	12CMale	12CM	Other_fungi	45.6847068470685
 12CM_4h_heavy	12C	Male	Heavy	4h_Heavy	12CMale	12CM	Davidiellaceae	12.3206232062321
 12CM_4h_heavy	12C	Male	Heavy	4h_Heavy	12CMale	12CM	Trichocomaceae	10.3321033210332
 12CM_4h_heavy	12C	Male	Heavy	4h_Heavy	12CMale	12CM	Malasseziaceae	7.62607626076261
 12CM_4h_heavy	12C	Male	Heavy	4h_Heavy	12CMale	12CM	Saccharomycetaceae	2.53177531775318
 12CM_4h_heavy	12C	Male	Heavy	4h_Heavy	12CMale	12CM	Pleosporaceae	1.78351783517835
 12CM_4h_heavy	12C	Male	Heavy	4h_Heavy	12CMale	12CM	Corticiaceae	0.543255432554326
 12CM_4h_heavy	12C	Male	Heavy	4h_Heavy	12CMale	12CM	Dothioraceae	1.58876588765888
 12CM_4h_heavy	12C	Male	Heavy	4h_Heavy	12CMale	12CM	Wallemiaceae	2.89052890528905
 12CM_4h_heavy	12C	Male	Heavy	4h_Heavy	12CMale	12CM	Cystofilobasidiaceae	0.543255432554326
 12CM_4h_heavy	12C	Male	Heavy	4h_Heavy	12CMale	12CM	Hymenochaetaceae	2.7060270602706
 12CM_4h_heavy	12C	Male	Heavy	4h_Heavy	12CMale	12CM	Cordycipitaceae	0.4920049200492
 12CM_4h_heavy	12C	Male	Heavy	4h_Heavy	12CMale	12CM	Peniophoraceae	0.840508405084051
