OTU	Phylum	Class	Order	Family	Genus	Species
OTU352	Basidiomycota	Agaricomycetes	Agaricales	unclassified	unclassified	unclassified
OTU353	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes_gibbosa
OTU354	Ascomycota	Sordariomycetes	Hypocreales	unclassified	unclassified	unclassified
OTU355	Ascomycota	Dothideomycetes	Pleosporales	unclassified	unclassified	unclassified
OTU356	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Sphaerulina	unclassified
OTU357	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU358	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	unclassified
OTU359	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus_ellisii
OTU360	Basidiomycota	Agaricomycetes	Cantharellales	unclassified	unclassified	unclassified
OTU361	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	unclassified
OTU362	Ascomycota	Eurotiomycetes	unclassified	unclassified	unclassified	unclassified
OTU363	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	unclassified
OTU364	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus_micaceus
OTU365	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis	Symmetrosporaceae	Symmetrospora	Symmetrospora_coprosmae
OTU366	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU367	Basidiomycota	Exobasidiomycetes	Microstromatales	Microstromataceae	Microstroma	Microstroma_album
OTU368	Basidiomycota	Agaricomycetes	Agaricales	unclassified	unclassified	unclassified
OTU369	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU370	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU371	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU372	Ascomycota	Leotiomycetes	Leotiomycetes_ord_Incertae_sedis	Myxotrichaceae	Oidiodendron	unclassified
OTU373	Basidiomycota	Exobasidiomycetes	Exobasidiales	Exobasidiaceae	Exobasidium	Exobasidium_sp
OTU374	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Wickerhamomyces	Wickerhamomyces_anomalus
OTU375	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Neoerysiphe	Neoerysiphe_nevoi
OTU376	Basidiomycota	Ustilaginomycotina_cls_Incertae_sedis	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
OTU377	Basidiomycota	Agaricomycetes	unclassified	unclassified	unclassified	unclassified
OTU379	Basidiomycota	Agaricomycetes	Polyporales	unclassified	unclassified	unclassified
OTU380	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Terana	Terana_caerulea
OTU381	Ascomycota	Lecanoromycetes	Teloschistales	Physciaceae	Hyperphyscia	Hyperphyscia_adglutinata
OTU382	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU383	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU384	Ascomycota	Dothideomycetes	Pleosporales	Montagnulaceae	unclassified	unclassified
OTU385	Basidiomycota	Microbotryomycetes	Sporidiobolales	unclassified	unclassified	unclassified
OTU386	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Periconia	Periconia_macrospinosa
OTU387	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus_micaceus
OTU388	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	unclassified	unclassified
OTU389	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	unclassified	unclassified
OTU390	Basidiomycota	Agaricomycetes	Polyporales	unclassified	unclassified	unclassified
OTU391	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	unclassified	unclassified
OTU392	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Crocicreas	Crocicreas_epicalamia
OTU393	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU394	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	unclassified_Stereaceae	Stereaceae_sp
OTU395	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus_sp
OTU396	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago	Ustilago_trichophora
OTU397	Ascomycota	Sordariomycetes	unclassified	unclassified	unclassified	unclassified
OTU398	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	unclassified	unclassified
OTU399	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus_niger
OTU400	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	unclassified	unclassified
