OTU	Phylum	Class	Order	Family	Genus	Species
OTU480	Ascomycota	Dothideomycetes	Pleosporales	unclassified	unclassified	unclassified
OTU481	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus_penicillioides
OTU482	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU483	Ascomycota	Sordariomycetes	unclassified	unclassified	unclassified	unclassified
OTU484	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora_minutissima
OTU485	Ascomycota	Dothideomycetes	Pleosporales	unclassified	unclassified	unclassified
OTU486	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU487	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU488	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ophiosphaerella	Ophiosphaerella_agrostidis
OTU489	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU490	Zygomycota	Mucoromycotina_cls_Incertae_sedis	Mucorales	Mucoraceae	Mucor	Mucor_racemosus
OTU491	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU492	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU494	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Tetracladium	unclassified
OTU496	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_xenobiotica
OTU497	Basidiomycota	Agaricomycetes	Boletales	Paxillaceae	Paxillus	Paxillus_involutus
OTU498	Basidiomycota	Ustilaginomycotina_cls_Incertae_sedis	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
OTU499	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Vanderwaltozyma	unclassified
OTU500	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia_mellicola
OTU501	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU502	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU503	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus_penicillioides
OTU504	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU505	Basidiomycota	Exobasidiomycetes	Exobasidiomycetidae_ord_Incertae_sedis	Exobasidiomycetidae_fam_Incertae_sedis	Tilletiopsis	Tilletiopsis_pallescens
OTU506	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Monographella	Monographella_nivalis
OTU507	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
