Fungi	X23PG	X2OHGlu	X6PG	aKG	Cit	F6P	FBP	G6P	Gly3P	IsoCit	Lact	Mala	Man6P	P5P	PEP	PSer	Sed7P	Succ	GMP
Cyberlindnera_4h	-0.371457193570615	-0.992148047226554	-0.965888425419939	-0.436509294310327	0.472552202017095	-0.529463734345454	0.104833291891845	-0.331379143669756	-0.991487118112494	0.959401781594835	0.949922272031965	-0.194965381118668	-0.857194784109258	-0.670035436978999	-0.233204717266813	-0.978448010232799	0.264596398574361	-0.542859786034472	1
Cyberlindnera_10h	-0.0731935830141987	-0.903111996956983	-0.725746444976338	-0.867668516625077	-0.82035572161135	-0.896710817894458	0.385735634968531	-0.912414483430501	0.0280423280405069	-0.95546945606178	-0.336197323418414	-0.989074488461109	-0.845507710044606	-0.760796619668113	-0.429489523626684	-0.953097407499388	-0.729108716799218	-0.995678245888493	0.999994733684671
Cyberlindnera_30h	0.441219225359209	-0.326161318723681	0.995427160812936	-0.945172303866835	0.329176068867414	0.745625578365684	0.909724363414575	0.830249788345984	-0.894303235300643	-0.544475447809396	-0.866399250050346	-0.953835522059086	0.775014584573311	-0.953012947280744	0.424497269626436	0.010020763515521	0.28174411315712	-0.998974174174065	0.90302937215373
Malassezia_4h	-0.984678342233084	-0.324704027310825	-0.450428540311543	-0.969793445641051	-0.766459399197393	-0.938454904610592	0.994976658685629	-0.991239528831423	-0.329597261736065	0.471705733224394	0.499577236600728	-0.999958783787748	-0.67892693913442	-0.863334826864885	-0.999547914887842	-0.40162549156491	-0.890166075290956	-0.932855324596962	0.203862254716088
Malassezia_10h	0.901707188031468	0.821585879707285	0.957737559554023	0.862736380318777	0.904035056832324	0.829866439379868	0.60871339276243	0.808738632781469	0.853360054646112	0.219013825070101	0.984292233981779	0.363849682888555	0.883664980478116	0.941350319493674	0.997080959206938	0.211263193673592	0.956316621948587	0.57561607804237	-0.5
Malassezia_30h	0.137680829708817	-0.606043633375188	0.975201255442752	-0.999904267004879	0.608578696634621	0.499165860890625	0.733721064640398	0.613684219685633	-0.989493269552286	-0.779959367427876	-0.979261363632505	-0.999904792324112	0.537863622609968	-0.999938704759863	0.11928458841017	-0.303931190872919	-0.0332197892335186	-0.93443170517212	0.722860257439634
Penicillium_10h	0.0764298897857706	0.904500830917989	0.727975333814894	0.869277374301307	0.822207293284982	0.898142563135645	-0.382739369757821	0.913737913660992	-0.0247980594660915	0.954506739943981	0.339252040609988	0.988590854237939	0.847236180043996	0.762898844604633	0.432418088613507	0.952110124177641	0.731326020089481	0.995974402261024	-1
Penicillium_30h	0.161927933284902	-0.586355790997712	0.980335217956454	-0.999264279069005	0.588937612682187	0.520264260536546	0.750161945368502	0.632861091740859	-0.985650348480404	-0.764378194889842	-0.973998699231059	-0.999942484740706	0.558374740533923	-0.999909518089235	0.143595671148865	-0.280477797821825	-0.00870129649404485	-0.942884048485663	0.739587472771483
Pezoloma_4h	-0.371457193570615	-0.992148047226554	-0.965888425419939	-0.436509294310327	0.472552202017095	-0.529463734345454	0.104833291891845	-0.331379143669756	-0.991487118112494	0.959401781594835	0.949922272031965	-0.194965381118667	-0.857194784109258	-0.670035436978999	-0.233204717266813	-0.978448010232799	0.264596398574361	-0.542859786034472	1
Pezoloma_10h	-0.825277298245698	0.0829149512107046	-0.229762225739129	0.00654099398253072	-0.0818277635473427	0.0682761237557774	-0.991452762520251	0.104999280879523	-0.878158114112203	0.73549291487388	-0.645040193371791	0.624741171349384	-0.03642880043412	-0.178451474889041	-0.564662870593431	0.740846930504049	-0.224990601859106	0.420358324218655	-0.5
Pezoloma_30h	0.138335425855766	-0.605517784174038	0.975347317306698	-0.999894903599538	0.608054127663631	0.499738443660347	0.734169967286061	0.614205916386702	-0.989397498269799	-0.779545573163853	-0.979127246594131	-0.999913693831122	0.53842068208915	-0.999945804002513	0.119940763850337	-0.303301469605868	-0.0325592263640563	-0.934666882841481	0.72331679175167
Saccharomyces_4h	-0.371457193570615	-0.992148047226554	-0.965888425419939	-0.436509294310327	0.472552202017095	-0.529463734345454	0.104833291891845	-0.331379143669756	-0.991487118112494	0.959401781594835	0.949922272031965	-0.194965381118667	-0.857194784109258	-0.670035436978999	-0.233204717266813	-0.978448010232799	0.264596398574362	-0.542859786034472	1
Saccharomyces_10h	-0.825700481357468	0.0821677410789293	-0.230491871003855	0.00579123962433063	-0.0825749947468947	0.0675280856186884	-0.991550303273249	0.10425362730491	-0.878516534436341	0.734984715642227	-0.645612946693346	0.62415555253462	-0.0371780610958124	-0.179189158539821	-0.565281512111859	0.740343122298519	-0.22572108381285	0.419677897425441	-0.499350540842595
Saccharomyces_30h	-0.998952851154259	-0.671204145550497	-0.395906510050607	0.169231450887765	0.668835395794224	-0.943171183864605	-0.802158219423829	-0.888453688571592	0.0387898930607368	-0.472661395384479	-0.020124906685845	0.196401192212006	-0.927168343057951	0.193726477950066	-0.997932325854414	-0.8810573451766	-0.976523419818778	0.521001081050387	-0.81152111490458
Sarocladium_4h	-0.618332759709632	0.387761100615133	0.258679498076027	-0.560908190116691	-0.999506611586181	-0.469945691699004	0.808836792760327	-0.651403383314978	0.382982879017784	-0.235444537544339	-0.204340076556039	-0.751923793477573	-0.0173990502763748	-0.307858152028496	-0.725544700901554	0.310395544144419	-0.967457800439025	-0.45587845942343	-0.5
Sarocladium_10h	-0.825277298245698	0.0829149512107046	-0.229762225739129	0.00654099398253072	-0.0818277635473427	0.0682761237557774	-0.991452762520251	0.104999280879523	-0.878158114112203	0.73549291487388	-0.645040193371791	0.624741171349384	-0.0364288004341201	-0.178451474889041	-0.564662870593431	0.740846930504049	-0.224990601859106	0.420358324218655	-0.5
Sarocladium_30h	-0.926618353395625	-0.385841983953759	-0.679269309401928	0.48796911972975	0.382896199771325	-0.999999536398959	-0.955282191912384	-0.990613825316356	0.369537601024396	-0.152005130530087	0.314173033728586	0.51190248885858	-0.999018821602155	0.509557889409957	-0.919484367045128	-0.673091598587644	-0.848937524189663	0.7756441931724	-0.959848699755784
Aspergillus_10h	-0.0942435569286353	-0.911980806370798	-0.740116321045881	-0.877976063400923	-0.832251928887187	-0.90586012804904	0.366161329852019	-0.920855850075754	0.00692141678883273	-0.949023101758895	-0.356015739915914	-0.985739936131327	-0.856597949266781	-0.774335473444671	-0.448469249931264	-0.946491603258791	-0.743402552352762	-0.997417784218111	0.999840172618494
Aspergillus_30h	-0.901521908743543	-0.327897232949257	-0.723466124226564	0.541150764950891	0.324881069882201	-0.998015757741166	-0.971778359174739	-0.997183105411849	0.426441324255943	-0.0904295421292451	0.372432653050753	0.564181359968442	-0.999842627314369	0.561927631204753	-0.893339939614995	-0.625941177007389	-0.814535612064065	0.813286645087875	-0.975395023602445
